Year,Game,Genre,Earnings,Players,Tournaments
1998,QuakeWorld,First-Person Shooter,43500.0,12,3
2001,QuakeWorld,First-Person Shooter,15000,8,1
2008,QuakeWorld,First-Person Shooter,2775.07,0,1
2012,QuakeWorld,First-Person Shooter,255.66,1,1
2015,QuakeWorld,First-Person Shooter,55.09,1,1
2016,QuakeWorld,First-Person Shooter,25000,16,1
2017,QuakeWorld,First-Person Shooter,5000,3,1
2018,QuakeWorld,First-Person Shooter,1042.22,9,3
2019,QuakeWorld,First-Person Shooter,1200,1,1
1998,Quake II,First-Person Shooter,66200.0,22,4
1999,Quake II,First-Person Shooter,42400.0,13,2
2005,Quake II,First-Person Shooter,20000,3,1
2017,Quake II,First-Person Shooter,10000,3,1
2018,Quake II,First-Person Shooter,379.5,2,1
2019,Quake II,First-Person Shooter,1200,1,1
1998,StarCraft: Brood War,Strategy,20000,8,1
1999,StarCraft: Brood War,Strategy,139553.84,50,11
2000,StarCraft: Brood War,Strategy,133038.04,57,10
2001,StarCraft: Brood War,Strategy,91893.99,67,9
2002,StarCraft: Brood War,Strategy,132944.26,55,10
2003,StarCraft: Brood War,Strategy,276838.39,181,16
2004,StarCraft: Brood War,Strategy,498433.15,163,16
2005,StarCraft: Brood War,Strategy,592759.49,150,28
2006,StarCraft: Brood War,Strategy,809030.24,291,41
2007,StarCraft: Brood War,Strategy,1049963.19,237,37
2008,StarCraft: Brood War,Strategy,1049976.45,366,26
2009,StarCraft: Brood War,Strategy,708775.32,246,51
2010,StarCraft: Brood War,Strategy,628499.64,205,15
2011,StarCraft: Brood War,Strategy,423063.87,202,37
2012,StarCraft: Brood War,Strategy,106816.29,82,31
2013,StarCraft: Brood War,Strategy,65259.28,103,35
2014,StarCraft: Brood War,Strategy,53601.35,57,16
2015,StarCraft: Brood War,Strategy,153783.67,168,55
2016,StarCraft: Brood War,Strategy,75767.76,54,13
2017,StarCraft: Brood War,Strategy,369062.94,214,56
2018,StarCraft: Brood War,Strategy,434890.36,210,33
2019,StarCraft: Brood War,Strategy,302457.08,142,15
1998,Age of Empires,Strategy,2000,1,1
2000,Age of Empires,Strategy,9500,4,1
2002,Age of Empires,Strategy,100,3,1
2003,Age of Empires,Strategy,625,4,1
2006,Age of Empires,Strategy,289.25,25,2
2009,Age of Empires,Strategy,880,16,1
2010,Age of Empires,Strategy,308,18,1
2011,Age of Empires,Strategy,3727.63,35,5
2013,Age of Empires,Strategy,1716.0,33,3
2014,Age of Empires,Strategy,3740.0,35,3
2015,Age of Empires,Strategy,12939.0,45,9
2016,Age of Empires,Strategy,62321.8,174,20
2017,Age of Empires,Strategy,27588.21,109,14
2018,Age of Empires,Strategy,41426.72,151,21
2019,Age of Empires,Strategy,10960.0,30,11
1999,Descent 3,First-Person Shooter,50000,1,1
1999,Quake III Arena,First-Person Shooter,43200.0,18,2
2000,Quake III Arena,First-Person Shooter,415237.82,160,28
2001,Quake III Arena,First-Person Shooter,147736.74,63,14
2002,Quake III Arena,First-Person Shooter,102206.4,25,4
2003,Quake III Arena,First-Person Shooter,95463.46,30,6
2004,Quake III Arena,First-Person Shooter,111500.0,40,4
2005,Quake III Arena,First-Person Shooter,56673.87,28,8
2006,Quake III Arena,First-Person Shooter,83813.76,60,6
2007,Quake III Arena,First-Person Shooter,5789.26,20,3
2008,Quake III Arena,First-Person Shooter,65619.7,36,12
2009,Quake III Arena,First-Person Shooter,10591.18,30,7
2000,Age of Empires II,Strategy,113768.3,42,16
2001,Age of Empires II,Strategy,160541.29,61,17
2002,Age of Empires II,Strategy,92866.0,63,28
2003,Age of Empires II,Strategy,27697.02,70,21
2004,Age of Empires II,Strategy,45565.2,137,15
2005,Age of Empires II,Strategy,40816.91,84,13
2006,Age of Empires II,Strategy,25332.54,66,5
2007,Age of Empires II,Strategy,21077.9,52,5
2008,Age of Empires II,Strategy,14988.36,29,7
2009,Age of Empires II,Strategy,10134.84,11,2
2010,Age of Empires II,Strategy,16973.75,27,5
2011,Age of Empires II,Strategy,10458.41,34,5
2012,Age of Empires II,Strategy,24642.94,71,6
2013,Age of Empires II,Strategy,32780.27,69,5
2014,Age of Empires II,Strategy,54308.71,164,21
2015,Age of Empires II,Strategy,203086.83,403,14
2016,Age of Empires II,Strategy,51096.14,206,30
2017,Age of Empires II,Strategy,97838.43,303,44
2018,Age of Empires II,Strategy,64796.33,234,59
2019,Age of Empires II,Strategy,137514.31,432,141
2000,Marvel vs. Capcom 2,Fighting Game,0,3,1
2001,Marvel vs. Capcom 2,Fighting Game,0,3,1
2002,Marvel vs. Capcom 2,Fighting Game,0,3,1
2003,Marvel vs. Capcom 2,Fighting Game,0,3,1
2004,Marvel vs. Capcom 2,Fighting Game,0,3,1
2005,Marvel vs. Capcom 2,Fighting Game,0,3,1
2006,Marvel vs. Capcom 2,Fighting Game,10250,8,1
2007,Marvel vs. Capcom 2,Fighting Game,10250,8,1
2008,Marvel vs. Capcom 2,Fighting Game,2610.0,10,4
2009,Marvel vs. Capcom 2,Fighting Game,90.0,6,2
2010,Marvel vs. Capcom 2,Fighting Game,130.0,6,2
2011,Marvel vs. Capcom 2,Fighting Game,15000,6,3
2014,Marvel vs. Capcom 2,Fighting Game,200.0,11,2
2015,Marvel vs. Capcom 2,Fighting Game,0.0,11,2
2016,Marvel vs. Capcom 2,Fighting Game,100,3,1
2019,Marvel vs. Capcom 2,Fighting Game,420,3,1
2000,Street Fighter Alpha 2,Fighting Game,0,3,1
2018,Street Fighter Alpha 2,Fighting Game,680.0,9,3
2019,Street Fighter Alpha 2,Fighting Game,710.0,9,3
2000,Street Fighter Alpha 3,Fighting Game,0,3,1
2001,Street Fighter Alpha 3,Fighting Game,0,3,1
2014,Street Fighter Alpha 3,Fighting Game,0,8,1
2018,Street Fighter Alpha 3,Fighting Game,300,3,1
2000,Street Fighter III: 3rd Strike,Fighting Game,0,3,1
2003,Street Fighter III: 3rd Strike,Fighting Game,0,3,1
2004,Street Fighter III: 3rd Strike,Fighting Game,0,3,1
2005,Street Fighter III: 3rd Strike,Fighting Game,0,3,1
2006,Street Fighter III: 3rd Strike,Fighting Game,10250,8,1
2007,Street Fighter III: 3rd Strike,Fighting Game,10250.0,12,2
2008,Street Fighter III: 3rd Strike,Fighting Game,2890.0,6,2
2009,Street Fighter III: 3rd Strike,Fighting Game,45,3,1
2011,Street Fighter III: 3rd Strike,Fighting Game,240,3,1
2012,Street Fighter III: 3rd Strike,Fighting Game,15780.72,21,4
2014,Street Fighter III: 3rd Strike,Fighting Game,0,11,2
2015,Street Fighter III: 3rd Strike,Fighting Game,1224.86,13,4
2017,Street Fighter III: 3rd Strike,Fighting Game,2958.36,3,2
2018,Street Fighter III: 3rd Strike,Fighting Game,1950.0,17,4
2019,Street Fighter III: 3rd Strike,Fighting Game,2809.92,22,4
2000,Super Street Fighter II Turbo,Fighting Game,0,3,1
2001,Super Street Fighter II Turbo,Fighting Game,0,3,1
2002,Super Street Fighter II Turbo,Fighting Game,0,3,1
2003,Super Street Fighter II Turbo,Fighting Game,0,3,1
2004,Super Street Fighter II Turbo,Fighting Game,0,3,1
2005,Super Street Fighter II Turbo,Fighting Game,0,3,1
2007,Super Street Fighter II Turbo,Fighting Game,10250,8,1
2008,Super Street Fighter II Turbo,Fighting Game,1770.0,6,2
2011,Super Street Fighter II Turbo,Fighting Game,820.0,11,2
2012,Super Street Fighter II Turbo,Fighting Game,0,4,1
2014,Super Street Fighter II Turbo,Fighting Game,0.0,25,4
2015,Super Street Fighter II Turbo,Fighting Game,328.69,7,2
2016,Super Street Fighter II Turbo,Fighting Game,1459.72,18,4
2017,Super Street Fighter II Turbo,Fighting Game,2760.0,21,5
2018,Super Street Fighter II Turbo,Fighting Game,2947.53,25,7
2019,Super Street Fighter II Turbo,Fighting Game,2752.11,23,6
2000,FIFA 2000,Sports,50000,4,1
2000,Counter-Strike,First-Person Shooter,23763.33,62,2
2001,Counter-Strike,First-Person Shooter,346592.44,344,13
2002,Counter-Strike,First-Person Shooter,400994.88,489,14
2003,Counter-Strike,First-Person Shooter,819377.99,901,61
2004,Counter-Strike,First-Person Shooter,899651.67,1407,89
2005,Counter-Strike,First-Person Shooter,1353441.43,1651,97
2006,Counter-Strike,First-Person Shooter,2131599.4,2071,117
2007,Counter-Strike,First-Person Shooter,1625973.48,1813,103
2008,Counter-Strike,First-Person Shooter,1651308.06,1626,113
2009,Counter-Strike,First-Person Shooter,1353400.64,1740,121
2010,Counter-Strike,First-Person Shooter,1449656.69,1778,115
2011,Counter-Strike,First-Person Shooter,879914.71,1376,84
2012,Counter-Strike,First-Person Shooter,547584.85,963,65
2013,Counter-Strike,First-Person Shooter,10080,21,1
2014,Counter-Strike,First-Person Shooter,1500,5,1
2001,Capcom vs. SNK,Fighting Game,0,3,1
2010,Capcom vs. SNK,Fighting Game,140,3,1
2001,FIFA 2001,Sports,46000,9,2
2001,Unreal Tournament,First-Person Shooter,46000,9,2
2002,Unreal Tournament,First-Person Shooter,43000,8,1
2001,Aliens versus Predator 2,First-Person Shooter,40000,1,1
2002,Super Smash Bros. Melee,Fighting Game,40.0,6,2
2003,Super Smash Bros. Melee,Fighting Game,15550.0,11,4
2004,Super Smash Bros. Melee,Fighting Game,10644.5,30,10
2005,Super Smash Bros. Melee,Fighting Game,36072.46,100,30
2006,Super Smash Bros. Melee,Fighting Game,116034.0,134,22
2007,Super Smash Bros. Melee,Fighting Game,74733.31,205,65
2008,Super Smash Bros. Melee,Fighting Game,22934.61,109,27
2009,Super Smash Bros. Melee,Fighting Game,51999.99,335,89
2010,Super Smash Bros. Melee,Fighting Game,31742.98,256,65
2011,Super Smash Bros. Melee,Fighting Game,44594.21,233,52
2012,Super Smash Bros. Melee,Fighting Game,30778.5,159,28
2013,Super Smash Bros. Melee,Fighting Game,56927.3,395,112
2014,Super Smash Bros. Melee,Fighting Game,167343.13,855,268
2015,Super Smash Bros. Melee,Fighting Game,514706.42,1476,533
2016,Super Smash Bros. Melee,Fighting Game,674499.14,2039,750
2017,Super Smash Bros. Melee,Fighting Game,631757.73,1115,298
2018,Super Smash Bros. Melee,Fighting Game,364222.84,649,112
2019,Super Smash Bros. Melee,Fighting Game,229660.22,639,121
2002,Return to Castle Wolfenstein,First-Person Shooter,67424.3,30,2
2002,Capcom vs. SNK 2,Fighting Game,0,3,1
2003,Capcom vs. SNK 2,Fighting Game,0,3,1
2004,Capcom vs. SNK 2,Fighting Game,0,3,1
2005,Capcom vs. SNK 2,Fighting Game,0,3,1
2006,Capcom vs. SNK 2,Fighting Game,10250,8,1
2007,Capcom vs. SNK 2,Fighting Game,10250,8,1
2008,Capcom vs. SNK 2,Fighting Game,1450.0,6,2
2014,Capcom vs. SNK 2,Fighting Game,445.0,11,2
2015,Capcom vs. SNK 2,Fighting Game,61.79,3,1
2017,Capcom vs. SNK 2,Fighting Game,610.0,6,2
2018,Capcom vs. SNK 2,Fighting Game,150,3,1
2019,Capcom vs. SNK 2,Fighting Game,730.0,6,2
2002,FIFA 2002 World Cup,Sports,43000,8,1
2002,Halo: Combat Evolved,First-Person Shooter,5000,21,2
2003,Halo: Combat Evolved,First-Person Shooter,107150.0,90,12
2004,Halo: Combat Evolved,First-Person Shooter,183456.0,109,22
2005,Halo: Combat Evolved,First-Person Shooter,3675,11,3
2002,Unreal Tournament 2003,First-Person Shooter,34000.0,24,5
2003,Unreal Tournament 2003,First-Person Shooter,111773.91,20,8
2008,Unreal Tournament 2003,First-Person Shooter,1700,1,1
2002,WarCraft III,Strategy,31285.25,12,4
2003,WarCraft III,Strategy,191632.33,90,29
2004,WarCraft III,Strategy,353388.9,200,72
2005,WarCraft III,Strategy,438648.01,201,41
2006,WarCraft III,Strategy,517579.95,217,64
2007,WarCraft III,Strategy,810507.08,319,102
2008,WarCraft III,Strategy,681496.09,282,105
2009,WarCraft III,Strategy,387351.0,178,90
2010,WarCraft III,Strategy,362767.85,198,88
2011,WarCraft III,Strategy,149527.55,112,64
2012,WarCraft III,Strategy,81561.64,81,57
2013,WarCraft III,Strategy,66904.83,78,61
2014,WarCraft III,Strategy,215181.8,110,29
2015,WarCraft III,Strategy,219597.87,113,58
2016,WarCraft III,Strategy,419963.19,229,108
2017,WarCraft III,Strategy,242954.2,319,198
2018,WarCraft III,Strategy,176129.87,240,117
2019,WarCraft III,Strategy,392576.52,174,40
2002,NASCAR Thunder 2002,Racing,7679.25,0,1
2002,Star Wars Jedi Knight II: Jedi Outcast,First-Person Shooter,7679.25,0,1
2003,Tekken 4,Fighting Game,12500.0,3,2
2004,Tekken 4,Fighting Game,0,3,1
2003,NASCAR Thunder 2003,Racing,5933.5,0,1
2003,FIFA 03,Sports,54066.44,10,3
2003,Guilty Gear XX,Fighting Game,0,3,1
2004,Guilty Gear XX,Fighting Game,0,3,1
2003,Soul Calibur II,Fighting Game,1500.0,6,2
2004,Soul Calibur II,Fighting Game,2700.0,5,2
2019,Soul Calibur II,Fighting Game,590.0,6,2
2003,Tekken Tag Tournament,Fighting Game,0,3,1
2004,Tekken Tag Tournament,Fighting Game,0,3,1
2005,Tekken Tag Tournament,Fighting Game,0,3,1
2003,Virtua Fighter 4: Evolution,Fighting Game,0,3,1
2004,Virtua Fighter 4: Evolution,Fighting Game,0,3,1
2003,Age of Mythology,Strategy,49000,8,2
2004,Age of Mythology,Strategy,3000,8,1
2014,Age of Mythology,Strategy,200,3,1
2018,Age of Mythology,Strategy,160,3,1
2003,Gran Turismo 3: A-Spec,Racing,1500,3,1
